id,centrality,word,degree
332,0.002367140961943657,entstand,91
333,0.005956871211924147,nun,229
334,0.0010405015217334755,werk,40
335,0.0024972036521603413,rahmen,96
336,0.003537705173893817,kinder,136
337,0.0029134042608537315,menschen,112
338,0.0019249278152069296,gemeinsam,74
339,0.0014827146684702026,j,57
340,0.005722758369534116,vater,220
341,0.002783341570637047,darunter,107
342,0.009650651614077986,johann,371
343,0.0031995421793304373,alter,123
344,0.01763650079338241,university,678
345,0.0009104388315167911,form,35
346,0.0015347397445568765,ehemalige,59
347,0.003563717711937154,fast,137
348,0.009338501157557943,york,359
349,0.0013526519782535182,bereich,52
350,0.013422469630361835,süden,516
351,0.0009624639076034648,alten,37
352,0.0063210467445308635,starb,243
353,0.001196576749993497,folge,46
354,0.013812657701011888,kilometer,531
355,0.004422131467367271,beginn,170
356,0.0019769528912936037,damals,76
357,0.00819394948365112,wechselte,315
358,0.009962802070598029,film,383
359,0.008324012173867804,gewählt,320
360,0.011601591967328252,osten,446
361,0.002263090809770309,erster,87
362,0.0014567021304268657,welche,56
363,0.017376375412949042,landkreis,668
364,0.005696745831490779,sowohl,219
365,0.0027313164945503734,entwicklung,105
366,0.015425435059698775,geographie,593
367,0.0007543636032567697,arbeit,29
368,0.01872902739120256,saison,720
369,0.0024711911141170042,allen,95
370,0.006789272429310928,erneut,261
371,0.006164971516270843,österreich,237
372,0.009390526233644617,meter,361
373,0.003043466951070416,bestand,117
374,0.000468225684780064,welt,18
375,0.01178367973363161,westen,453
376,0.0033816299456337954,lange,130
377,0.004135993548890565,international,159
378,0.0016908149728168977,ehemaligen,65
379,0.003433655021720469,gilt,132
380,0.011679629581458262,tochter,449
381,0.0074135733423510135,heinrich,285
382,0.004370106391280597,zahlreiche,168
383,0.004864344614103998,thomas,187
384,0.0019249278152069296,besonders,74
385,0.002575241266290352,je,99
386,0.0028353666467237208,ca,109
387,0.002393153499986994,jahres,92
388,0.0021850531956402984,kleine,84
389,0.00275732903259371,finden,106
390,0.01095127851624483,paris,421
391,0.0042920687771505865,martin,165
392,0.008740212782561194,erreichte,336
393,0.005410607913014073,zuvor,208
394,0.003563717711937154,gesellschaft,137
395,0.0020029654293369403,g,77
396,0.004057955934760555,ursprünglich,156
397,0.0023151158858569832,haus,89
398,0.007335535728221002,georg,282
399,0.0056707332934474415,london,218
400,0.003745805478240512,gut,144
401,0.01589366074447884,amerikanischer,611
402,0.00502041984236402,zog,193
403,0.005280545222797388,sieben,203
404,0.0013266394402101814,eigenen,51
405,0.002991441874983742,bau,115
406,0.003745805478240512,verschiedene,144
407,0.007933824103217751,errichtet,305
408,0.006737247353224254,doch,259
409,0.0024972036521603413,x,96
410,0.0026012538043336886,stark,100
411,0.002393153499986994,t,92
412,0.0038498556304138593,robert,148
413,0.0022110657336836355,bedeutung,85
414,0.0027313164945503734,rolle,105
415,0.009520588923861302,höhe,366
416,0.003537705173893817,r,136
417,0.005592695679317431,daher,215
418,0.009598626537991312,erbaut,369
419,0.005384595374970736,wien,207
420,0.0024451785760736676,verwendet,94
421,0.0076997112608277185,besuchte,296
422,0.010821215826028146,spielen,416
423,0.005410607913014073,acht,208
424,0.0025232161902036783,ließ,97
425,0.003017454413027079,folgte,116
426,0.00234112842390032,meist,90
427,0.005176495070624041,zehn,199
428,0.0005462632989100746,arbeiten,21
429,0.004318081315193924,darüber,166
430,0.006841297505397602,sei,263
431,0.008141924407564446,straße,313
432,0.004604219233670629,kommt,177
433,0.0014567021304268657,kleinen,56
434,0.0067112348151809175,franz,258
435,0.010561090445594777,provinz,406
436,0.010405015217334754,amt,400
437,0.004005930858673881,auszeichnungen,154
438,0.006295034206487527,unternehmen,242
439,0.004083968472803892,weil,157
440,0.008506099940171163,autor,327
441,0.004578206695627292,sitz,176
442,0.008219962021694456,auflage,316
443,0.009988814608641365,verein,384
444,0.002549228728247015,heutigen,98
445,0.0006503134510834222,beispiel,25
446,0.002549228728247015,oft,98
447,0.011159378820591525,kreis,429
448,0.004057955934760555,internationalen,156
449,0.003043466951070416,gegenüber,117
450,0.0074135733423510135,maria,285
451,0.0021850531956402984,o,84
452,0.0026012538043336886,teilweise,100
453,0.001196576749993497,eingesetzt,46
454,0.0035116926358504798,letzte,135
455,0.005202507608667377,französischen,200
456,0.012486018260801706,richtung,480
457,0.02231875764118305,to,858
458,0.0017428400489035716,reihe,67
459,0.004890357152147335,einsatz,188
460,0.007647686184741045,kein,294
461,0.0039018807065005334,konnten,150
462,0.009676664152121322,gebäude,372
463,0.01628384881512889,meister,626
464,0.005904846135837473,schweiz,227
465,0.00509845745649403,geht,196
466,0.003719792940197175,findet,143
467,0.0239055224618266,for,919
468,0.005462632989100747,vereinigten,210
469,0.006919335119527612,erschien,266
470,0.003563717711937154,iii,137
471,0.005462632989100747,somit,210
472,0.0032255547173737744,machte,124
473,0.0009884764456468019,sommer,38
474,0.0036937804021538382,stellte,142
475,0.01162760450537159,amerikaner,447
476,0.003745805478240512,kultur,144
477,0.002809354108680384,k,108
478,0.0039018807065005334,dafür,150
479,0.006425096896704212,stuttgart,247
480,0.0049683947662773455,hamburg,191
481,0.004526181619540618,hinaus,174
482,0.003485680097807143,aller,134
483,0.0029134042608537315,p,112
484,0.0060088962880108215,zwar,231
485,0.002263090809770309,also,87
486,0.006659209739094243,folgende,256
487,0.004474156543453945,gleichen,172
488,0.002107015581510288,hin,81
489,0.005410607913014073,setzte,208
490,0.006789272429310928,christian,261
491,0.00502041984236402,krieg,193
492,0.006659209739094243,ludwig,256
493,0.014905184298832037,teilnehmer,573
494,0.00509845745649403,ebenso,196
495,0.0016908149728168977,eigene,65
496,0.005904846135837473,lag,227
497,0.0034076424836771324,gehören,131
498,0.0026792914184636993,weg,103
499,0.010222927451031398,national,393
500,0.0006763259891267591,aufgenommen,26
501,0.0027053039565070364,beschreibung,104
502,0.010431027755378092,musik,401
503,0.004734281923887314,befinden,182
504,0.006190984054314179,ernst,238
505,0.0077257237988710556,ehemaliger,297
506,0.013110319173841792,studium,504
507,0.006841297505397602,veröffentlicht,263
508,0.006164971516270843,dritten,237
509,0.002991441874983742,zeigt,115
510,0.01615378612491221,hochschullehrer,621
511,0.00468225684780064,frankfurt,180
512,0.003017454413027079,einigen,116
513,0.004370106391280597,etwas,168
514,0.0031995421793304373,mehreren,123
515,0.004890357152147335,hinter,188
516,0.009650651614077986,absolvierte,371
517,0.0049423822282340085,direkt,190
518,0.006295034206487527,weiterhin,242
519,0.0028873917228103944,lassen,111
520,0.002159040657596962,amerikanischen,83
521,0.002054990505423614,w,79
522,0.0018468902010769191,nähe,71
523,0.005618708217360768,meisten,216
524,0.0036157427880238275,schule,139
525,0.01480113414665869,südlich,569
526,0.0009104388315167911,stelle,35
527,0.00551465806518742,david,212
528,0.0031735296412871003,vielen,122
529,0.009000338162994564,verheiratet,346
530,0.015165309679265406,professor,583
531,0.0039539057825872075,handelt,152
532,0.008089899331477772,com,311
533,0.005696745831490779,frauen,219
534,0.0029134042608537315,stehen,112
535,0.005150482532580704,pro,198
536,0.0035116926358504798,politik,135
537,0.001196576749993497,beispielsweise,46
538,0.0032255547173737744,gründete,124
539,0.0017688525869469084,benannt,68
540,0.008245974559737794,italien,317
541,0.01529537236948209,le,588
542,0.005280545222797388,könig,203
